# Temperature_MeV comoving_wavenumber Horizon_mass_solar kappa_QCD gamma_QCD delta_QCD phi_QCD
0.00233312 18.7265 4.95331e+10 4.20721 0.377779 1486.55 413.442
0.00234011 18.7827 4.92374e+10 4.20721 0.377779 1477.68 410.978
0.00234713 18.839 4.89435e+10 4.20721 0.377779 1468.86 408.529
0.00235417 18.8955 4.86513e+10 4.20721 0.377779 1460.09 406.094
0.00236122 18.9521 4.83609e+10 4.20721 0.377779 1451.38 403.674
0.0023683 19.009 4.80722e+10 4.20721 0.377779 1442.72 401.268
0.0023754 19.066 4.77852e+10 4.20721 0.377779 1434.11 398.877
0.00238253 19.1231 4.75e+10 4.20721 0.377779 1425.55 396.5
0.00238967 19.1805 4.72164e+10 4.20721 0.377779 1417.05 394.137
0.00239683 19.238 4.69346e+10 4.20721 0.377779 1408.59 391.788
0.00240402 19.2956 4.66544e+10 4.20721 0.377779 1400.19 389.453
0.00241123 19.3535 4.63759e+10 4.20721 0.377779 1391.83 387.132
0.00241846 19.4115 4.60991e+10 4.20721 0.377779 1383.53 384.825
0.00242571 19.4697 4.58239e+10 4.20721 0.377779 1375.27 382.532
0.00243298 19.5281 4.55503e+10 4.20721 0.377779 1367.06 380.253
0.00244027 19.5866 4.52784e+10 4.20721 0.377779 1358.91 377.987
0.00244759 19.6454 4.50081e+10 4.20721 0.377779 1350.8 375.734
0.00245493 19.7043 4.47395e+10 4.20721 0.377779 1342.74 373.495
0.00246229 19.7633 4.44724e+10 4.20721 0.377779 1334.73 371.27
0.00246967 19.8226 4.42069e+10 4.20721 0.377779 1326.76 369.058
0.00247708 19.882 4.3943e+10 4.20721 0.377779 1318.84 366.858
0.0024845 19.9416 4.36807e+10 4.20721 0.377779 1310.98 364.673
0.00249195 20.0014 4.342e+10 4.20721 0.377779 1303.15 362.5
0.00249942 20.0614 4.31608e+10 4.20721 0.377779 1295.38 360.34
0.00250692 20.1215 4.29031e+10 4.20721 0.377779 1287.65 358.193
0.00251443 20.1819 4.2647e+10 4.20721 0.377779 1279.96 356.058
0.00252197 20.2424 4.23924e+10 4.20721 0.377779 1272.33 353.937
0.00252953 20.303 4.21394e+10 4.20721 0.377779 1264.74 351.828
0.00253712 20.3639 4.18878e+10 4.20721 0.377779 1257.19 349.732
0.00254472 20.425 4.16378e+10 4.20721 0.377779 1249.69 347.648
0.00255235 20.4862 4.13892e+10 4.20721 0.377779 1242.23 345.577
0.00256001 20.5476 4.11422e+10 4.20721 0.377779 1234.82 343.518
0.00256768 20.6092 4.08966e+10 4.20721 0.377779 1227.45 341.471
0.00257538 20.671 4.06524e+10 4.20721 0.377779 1220.13 339.437
0.0025831 20.733 4.04098e+10 4.20721 0.377779 1212.85 337.415
0.00259084 20.7952 4.01685e+10 4.20721 0.377779 1205.61 335.404
0.00259861 20.8575 3.99288e+10 4.20721 0.377779 1198.42 333.406
0.0026064 20.92 3.96904e+10 4.20721 0.377779 1191.27 331.42
0.00261422 20.9828 3.94535e+10 4.20721 0.377779 1184.16 329.446
0.00262206 21.0457 3.9218e+10 4.20721 0.377779 1177.09 327.483
0.00262992 21.1088 3.89839e+10 4.20721 0.377779 1170.07 325.532
0.0026378 21.1721 3.87511e+10 4.20721 0.377779 1163.09 323.593
0.00264571 21.2355 3.85198e+10 4.20721 0.377779 1156.15 321.665
0.00265364 21.2992 3.82899e+10 4.20721 0.377779 1149.25 319.749
0.0026616 21.3631 3.80613e+10 4.20721 0.377779 1142.39 317.844
0.00266958 21.4271 3.78341e+10 4.20721 0.377779 1135.58 315.951
0.00267758 21.4914 3.76083e+10 4.20721 0.377779 1128.8 314.069
0.00268561 21.5558 3.73838e+10 4.20721 0.377779 1122.07 312.198
0.00269366 21.6204 3.71606e+10 4.20721 0.377779 1115.37 310.338
0.00270174 21.6852 3.69388e+10 4.20721 0.377779 1108.72 308.49
0.00270984 21.7503 3.67183e+10 4.20721 0.377779 1102.1 306.652
0.00271796 21.8155 3.64991e+10 4.20721 0.377779 1095.53 304.826
0.00272611 21.8809 3.62812e+10 4.20721 0.377779 1088.99 303.01
0.00273428 21.9465 3.60646e+10 4.20721 0.377779 1082.49 301.205
0.00274248 22.0123 3.58493e+10 4.20721 0.377779 1076.03 299.411
0.0027507 22.0783 3.56353e+10 4.20721 0.377779 1069.61 297.628
0.00275895 22.1445 3.54226e+10 4.20721 0.377779 1063.23 295.855
0.00276722 22.2108 3.52112e+10 4.20721 0.377779 1056.89 294.093
0.00277552 22.2774 3.5001e+10 4.20721 0.377779 1050.58 292.341
0.00278384 22.3442 3.4792e+10 4.20721 0.377779 1044.31 290.6
0.00279219 22.4112 3.45844e+10 4.20721 0.377779 1038.08 288.869
0.00280056 22.4784 3.43779e+10 4.20721 0.377779 1031.89 287.149
0.00280896 22.5458 3.41727e+10 4.20721 0.377779 1025.73 285.439
0.00281738 22.6134 3.39687e+10 4.20721 0.377779 1019.61 283.739
0.00282582 22.6812 3.37659e+10 4.20721 0.377779 1013.53 282.049
0.0028343 22.7492 3.35644e+10 4.20721 0.377779 1007.48 280.37
0.00284279 22.8174 3.3364e+10 4.20721 0.377779 1001.47 278.7
0.00285132 22.8858 3.31648e+10 4.20721 0.377779 995.499 277.04
0.00285987 22.9544 3.29669e+10 4.20721 0.377779 989.559 275.39
0.00286844 23.0233 3.27701e+10 4.20721 0.377779 983.656 273.75
0.00287704 23.0923 3.25744e+10 4.20721 0.377779 977.787 272.12
0.00288567 23.1615 3.238e+10 4.20721 0.377779 971.954 270.5
0.00289432 23.231 3.21867e+10 4.20721 0.377779 966.155 268.889
0.00290299 23.3006 3.19946e+10 4.20721 0.377779 960.391 267.288
0.0029117 23.3705 3.18036e+10 4.20721 0.377779 954.661 265.696
0.00292043 23.4405 3.16137e+10 4.20721 0.377779 948.966 264.114
0.00292918 23.5108 3.1425e+10 4.20721 0.377779 943.304 262.542
